,index,Mon,date,year,r1
0,209,6,5,2012,40
1,3682,6,5,2012,40
2,208,6,6,2012,57
3,3681,6,6,2012,57
4,207,6,7,2012,53
5,3680,6,7,2012,53
6,206,6,8,2012,3
7,3679,6,8,2012,3
8,205,6,9,2012,83
9,3678,6,9,2012,83
10,204,6,10,2012,19
11,3677,6,10,2012,19
12,203,6,11,2012,50
13,3676,6,11,2012,50
14,202,6,12,2012,76
15,3675,6,12,2012,76
16,201,6,13,2012,55
17,3674,6,13,2012,55
18,200,6,14,2012,77
19,3673,6,14,2012,77
20,199,6,15,2012,65
21,3672,6,15,2012,65
22,198,6,16,2012,38
23,3671,6,16,2012,38
24,197,6,17,2012,58
25,3670,6,17,2012,58
26,196,6,18,2012,25
27,3669,6,18,2012,25
28,195,6,19,2012,91
29,3668,6,19,2012,91
30,194,6,20,2012,86
31,3667,6,20,2012,86
32,193,6,21,2012,65
33,3666,6,21,2012,65
34,192,6,22,2012,63
35,3665,6,22,2012,63
36,191,6,23,2012,16
37,3664,6,23,2012,16
38,190,6,24,2012,50
39,3663,6,24,2012,50
40,189,6,25,2012,96
41,3662,6,25,2012,96
42,188,6,26,2012,50
43,3661,6,26,2012,50
44,187,6,27,2012,67
45,3660,6,27,2012,67
46,186,6,28,2012,27
47,3659,6,28,2012,27
48,185,6,29,2012,27
49,3658,6,29,2012,27
50,184,6,30,2012,85
51,3657,6,30,2012,85
52,183,7,1,2012,6
53,3656,7,1,2012,6
54,182,7,2,2012,85
55,3655,7,2,2012,85
56,181,7,3,2012,78
57,3654,7,3,2012,78
58,180,7,4,2012,25
59,3653,7,4,2012,25
60,179,7,5,2012,90
61,3652,7,5,2012,90
62,178,7,6,2012,63
63,3651,7,6,2012,63
64,177,7,7,2012,57
65,3650,7,7,2012,57
66,176,7,8,2012,22
67,3649,7,8,2012,22
68,175,7,9,2012,30
69,3648,7,9,2012,30
70,174,7,10,2012,17
71,3647,7,10,2012,17
72,173,7,11,2012,10
73,3646,7,11,2012,10
74,172,7,12,2012,16
75,3645,7,12,2012,16
76,171,7,13,2012,9
77,3644,7,13,2012,9
78,170,7,14,2012,24
79,3643,7,14,2012,24
80,169,7,15,2012,35
81,3642,7,15,2012,35
82,168,7,16,2012,72
83,3641,7,16,2012,72
84,167,7,17,2012,7
85,3640,7,17,2012,7
86,166,7,18,2012,14
87,3639,7,18,2012,14
88,165,7,19,2012,36
89,3638,7,19,2012,36
90,164,7,20,2012,96
91,3637,7,20,2012,96
92,163,7,21,2012,93
93,3636,7,21,2012,93
94,162,7,22,2012,35
95,3635,7,22,2012,35
96,161,7,23,2012,73
97,3634,7,23,2012,73
98,160,7,24,2012,62
99,3633,7,24,2012,62
100,159,7,25,2012,94
101,3632,7,25,2012,94
102,158,7,26,2012,74
103,3631,7,26,2012,74
104,157,7,27,2012,59
105,3630,7,27,2012,59
106,156,7,28,2012,50
107,3629,7,28,2012,50
108,155,7,29,2012,93
109,3628,7,29,2012,93
110,154,7,30,2012,67
111,3627,7,30,2012,67
112,153,7,31,2012,45
113,3626,7,31,2012,45
114,152,8,1,2012,90
115,3625,8,1,2012,90
116,151,8,2,2012,93
117,3624,8,2,2012,93
118,150,8,3,2012,61
119,3623,8,3,2012,61
120,149,8,4,2012,32
121,3622,8,4,2012,32
122,148,8,5,2012,78
123,3621,8,5,2012,78
124,147,8,6,2012,0
125,3620,8,6,2012,0
126,146,8,7,2012,50
127,3619,8,7,2012,50
128,145,8,8,2012,95
129,3618,8,8,2012,95
130,144,8,9,2012,44
131,3617,8,9,2012,44
132,143,8,10,2012,98
133,3616,8,10,2012,98
134,142,8,11,2012,30
135,3615,8,11,2012,30
136,141,8,12,2012,40
137,3614,8,12,2012,40
138,140,8,13,2012,2
139,3613,8,13,2012,2
140,139,8,14,2012,77
141,3612,8,14,2012,77
142,138,8,15,2012,53
143,3611,8,15,2012,53
144,137,8,16,2012,5
145,3610,8,16,2012,5
146,136,8,17,2012,73
147,3609,8,17,2012,73
148,135,8,18,2012,15
149,3608,8,18,2012,15
150,134,8,19,2012,48
151,3607,8,19,2012,48
152,133,8,20,2012,11
153,3606,8,20,2012,11
154,132,8,21,2012,18
155,3605,8,21,2012,18
156,131,8,22,2012,11
157,3604,8,22,2012,11
158,130,8,23,2012,58
159,3603,8,23,2012,58
160,129,8,24,2012,74
161,3602,8,24,2012,74
162,128,8,25,2012,13
163,3601,8,25,2012,13
164,127,8,26,2012,0
165,3600,8,26,2012,0
166,126,8,27,2012,90
167,3599,8,27,2012,90
168,125,8,28,2012,1
169,3598,8,28,2012,1
170,124,8,29,2012,6
171,3597,8,29,2012,6
172,123,8,30,2012,38
173,3596,8,30,2012,38
174,122,8,31,2012,72
175,3595,8,31,2012,72
176,121,9,1,2012,55
177,3594,9,1,2012,55
178,120,9,2,2012,45
179,3593,9,2,2012,45
180,119,9,3,2012,66
181,3592,9,3,2012,66
182,118,9,4,2012,75
183,3591,9,4,2012,75
184,117,9,5,2012,39
185,3590,9,5,2012,39
186,116,9,6,2012,52
187,3589,9,6,2012,52
188,115,9,7,2012,53
189,3588,9,7,2012,53
190,114,9,8,2012,38
191,3587,9,8,2012,38
192,113,9,9,2012,30
193,3586,9,9,2012,30
194,112,9,10,2012,17
195,3585,9,10,2012,17
196,111,9,11,2012,89
197,3584,9,11,2012,89
198,110,9,12,2012,66
199,3583,9,12,2012,66
200,109,9,13,2012,0
201,3582,9,13,2012,0
202,108,9,14,2012,38
203,3581,9,14,2012,38
204,107,9,15,2012,14
205,3580,9,15,2012,14
206,106,9,16,2012,94
207,3579,9,16,2012,94
208,105,9,17,2012,0
209,3578,9,17,2012,0
210,104,9,18,2012,23
211,3577,9,18,2012,23
212,103,9,19,2012,59
213,3576,9,19,2012,59
214,102,9,20,2012,41
215,3575,9,20,2012,41
216,101,9,21,2012,8
217,3574,9,21,2012,8
218,100,9,22,2012,18
219,3573,9,22,2012,18
220,99,9,23,2012,30
221,3572,9,23,2012,30
222,98,9,24,2012,10
223,3571,9,24,2012,10
224,97,9,25,2012,23
225,3570,9,25,2012,23
226,96,9,26,2012,56
227,3569,9,26,2012,56
228,95,9,27,2012,41
229,3568,9,27,2012,41
230,94,9,28,2012,41
231,3567,9,28,2012,41
232,93,9,29,2012,1
233,3566,9,29,2012,1
234,92,9,30,2012,40
235,3565,9,30,2012,40
236,91,10,1,2012,16
237,3564,10,1,2012,16
238,90,10,2,2012,27
239,3563,10,2,2012,27
240,89,10,3,2012,88
241,3562,10,3,2012,88
242,88,10,4,2012,68
243,3561,10,4,2012,68
244,87,10,5,2012,24
245,3560,10,5,2012,24
246,86,10,6,2012,20
247,3559,10,6,2012,20
248,85,10,7,2012,3
249,3558,10,7,2012,3
250,84,10,8,2012,28
251,3557,10,8,2012,28
252,83,10,9,2012,35
253,3556,10,9,2012,35
254,82,10,10,2012,63
255,3555,10,10,2012,63
256,81,10,11,2012,71
257,3554,10,11,2012,71
258,80,10,12,2012,95
259,3553,10,12,2012,95
260,79,10,13,2012,86
261,3552,10,13,2012,86
262,78,10,14,2012,49
263,3551,10,14,2012,49
264,77,10,15,2012,22
265,3550,10,15,2012,22
266,76,10,16,2012,38
267,3549,10,16,2012,38
268,75,10,17,2012,55
269,3548,10,17,2012,55
270,74,10,18,2012,46
271,3547,10,18,2012,46
272,73,10,19,2012,55
273,3546,10,19,2012,55
274,72,10,20,2012,26
275,3545,10,20,2012,26
276,71,10,21,2012,42
277,3544,10,21,2012,42
278,70,10,22,2012,56
279,3543,10,22,2012,56
280,69,10,23,2012,32
281,3542,10,23,2012,32
282,68,10,24,2012,73
283,3541,10,24,2012,73
284,67,10,25,2012,51
285,3540,10,25,2012,51
286,66,10,26,2012,49
287,3539,10,26,2012,49
288,65,10,27,2012,36
289,3538,10,27,2012,36
290,64,10,28,2012,81
291,3537,10,28,2012,81
292,63,10,29,2012,13
293,3536,10,29,2012,13
294,62,10,30,2012,31
295,3535,10,30,2012,31
296,61,10,31,2012,54
297,3534,10,31,2012,54
