month,year,result,time 
12,31,2012,79,1
12,30,2012,96,1
12,29,2012,60,1
12,28,2012,72,1
12,27,2012,82,1
12,26,2012,39,1
12,25,2012,10,1
12,24,2012,04,1
12,23,2012,07,1
12,22,2012,90,1
12,21,2012,35,1
12,20,2012,31,1
12,19,2012,55,1
12,18,2012,60,1
12,17,2012,69,1
12,16,2012,75,1
12,15,2012,71,1
12,14,2012,34,1
12,13,2012,66,1
12,12,2012,87,1
12,11,2012,12,1
12,10,2012,91,1
12,09,2012,84,1
12,08,2012,18,1
12,07,2012,55,1
12,06,2012,81,1
12,05,2012,09,1
12,04,2012,34,1
12,03,2012,15,1
12,02,2012,75,1
12,01,2012,91,1
11,30,2012,23,1
11,29,2012,27,1
11,28,2012,63,1
11,27,2012,96,1
11,26,2012,23,1
11,25,2012,24,1
11,24,2012,34,1
11,23,2012,92,1
11,22,2012,44,1
11,21,2012,61,1
11,20,2012,09,1
11,19,2012,93,1
11,18,2012,84,1
11,17,2012,82,1
11,16,2012,50,1
11,15,2012,27,1
11,14,2012,46,1
11,13,2012,11,1
11,12,2012,63,1
11,11,2012,88,1
11,10,2012,17,1
11,09,2012,83,1
11,08,2012,31,1
11,07,2012,34,1
11,06,2012,24,1
11,05,2012,01,1
11,04,2012,09,1
11,03,2012,30,1
11,02,2012,16,1
11,01,2012,21,1
10,31,2012,49,1
10,30,2012,54,1
10,29,2012,95,1
10,28,2012,14,1
10,27,2012,80,1
10,26,2012,84,1
10,25,2012,79,1
10,24,2012,13,1
10,23,2012,96,1
10,22,2012,78,1
10,21,2012,56,1
10,20,2012,18,1
10,19,2012,42,1
10,18,2012,74,1
10,17,2012,08,1
10,16,2012,51,1
10,15,2012,17,1
10,14,2012,19,1
10,13,2012,32,1
10,12,2012,19,1
10,11,2012,37,1
10,10,2012,41,1
10,09,2012,60,1
10,08,2012,73,1
10,07,2012,53,1
10,06,2012,25,1
10,05,2012,22,1
10,04,2012,38,1
10,03,2012,34,1
10,02,2012,75,1
10,01,2012,70,1
9,30,2012,23,1
9,29,2012,36,1
9,28,2012,96,1
9,27,2012,64,1
9,26,2012,19,1
9,25,2012,14,1
9,24,2012,03,1
9,23,2012,56,1
9,22,2012,36,1
9,21,2012,78,1
9,20,2012,53,1
9,19,2012,21,1
9,18,2012,77,1
9,17,2012,47,1
9,16,2012,58,1
9,15,2012,89,1
9,14,2012,98,1
9,13,2012,79,1
9,12,2012,53,1
9,11,2012,93,1
9,10,2012,18,1
9,09,2012,16,1
9,08,2012,62,1
9,07,2012,30,1
9,06,2012,84,1
9,05,2012,78,1
9,04,2012,60,1
9,03,2012,70,1
9,02,2012,49,1
9,01,2012,47,1
8,31,2012,33,1
8,30,2012,17,1
8,29,2012,84,1
8,28,2012,44,1
8,27,2012,84,1
8,26,2012,38,1
8,25,2012,90,1
8,24,2012,13,1
8,23,2012,01,1
8,22,2012,29,1
8,21,2012,88,1
8,20,2012,80,1
8,19,2012,04,1
8,18,2012,87,1
8,17,2012,90,1
8,16,2012,98,1
8,15,2012,62,1
8,14,2012,30,1
8,13,2012,72,1
8,12,2012,35,1
8,11,2012,08,1
8,10,2012,31,1
8,09,2012,74,1
8,08,2012,39,1
8,07,2012,85,1
8,06,2012,24,1
8,05,2012,04,1
8,04,2012,82,1
8,03,2012,12,1
8,02,2012,75,1
8,01,2012,32,1
7,31,2012,28,1
7,30,2012,97,1
7,29,2012,77,1
7,28,2012,22,1
7,27,2012,60,1
7,26,2012,49,1
7,25,2012,60,1
7,24,2012,76,1
7,23,2012,45,1
7,22,2012,61,1
7,21,2012,88,1
7,20,2012,49,1
7,19,2012,14,1
7,18,2012,06,1
7,17,2012,12,1
7,16,2012,78,1
7,15,2012,86,1
7,14,2012,96,1
7,13,2012,81,1
7,12,2012,03,1
7,11,2012,21,1
7,10,2012,60,1
7,09,2012,76,1
7,08,2012,30,1
7,07,2012,50,1
7,06,2012,63,1
7,05,2012,47,1
7,04,2012,25,1
7,03,2012,82,1
7,02,2012,50,1
7,01,2012,57,1
6,30,2012,14,1
6,29,2012,77,1
6,28,2012,87,1
6,27,2012,72,1
6,26,2012,10,1
6,25,2012,72,1
6,24,2012,30,1
6,23,2012,99,1
6,22,2012,27,1
6,21,2012,50,1
6,20,2012,87,1
6,19,2012,16,1
6,18,2012,64,1
6,17,2012,12,1
6,16,2012,98,1
6,15,2012,74,1
6,14,2012,60,1
6,13,2012,28,1
6,12,2012,59,1
6,11,2012,89,1
6,10,2012,71,1
6,09,2012,54,1
6,08,2012,16,1
6,07,2012,48,1
6,06,2012,16,1
6,05,2012,28,1
12,31,2013,78,1
12,30,2013,77,1
12,29,2013,05,1
12,28,2013,82,1
12,27,2013,41,1
12,26,2013,08,1
12,25,2013,01,1
12,24,2013,04,1
12,23,2013,25,1
12,22,2013,28,1
12,21,2013,69,1
12,20,2013,13,1
12,19,2013,18,1
12,18,2013,39,1
12,17,2013,25,1
12,16,2013,65,1
12,15,2013,71,1
12,14,2013,95,1
12,13,2013,27,1
12,12,2013,66,1
12,11,2013,24,1
12,10,2013,37,1
12,09,2013,24,1
12,08,2013,80,1
12,07,2013,94,1
12,06,2013,29,1
12,05,2013,08,1
12,04,2013,14,1
12,03,2013,12,1
12,02,2013,58,1
12,01,2013,15,1
11,30,2013,65,1
11,29,2013,10,1
11,28,2013,69,1
11,27,2013,49,1
11,26,2013,28,1
11,25,2013,78,1
11,24,2013,93,1
11,23,2013,28,1
11,22,2013,00,1
11,21,2013,20,1
11,20,2013,71,1
11,19,2013,30,1
11,18,2013,20,1
11,17,2013,70,1
11,16,2013,45,1
11,15,2013,54,1
11,14,2013,22,1
11,13,2013,57,1
11,12,2013,16,1
11,11,2013,42,1
11,10,2013,13,1
11,09,2013,51,1
11,08,2013,22,1
11,07,2013,91,1
11,06,2013,32,1
11,05,2013,47,1
11,04,2013,81,1
11,03,2013,70,1
11,02,2013,88,1
11,01,2013,03,1
10,31,2013,54,1
10,30,2013,56,1
10,29,2013,26,1
10,28,2013,69,1
10,27,2013,74,1
10,26,2013,63,1
10,25,2013,46,1
10,24,2013,67,1
10,23,2013,71,1
10,22,2013,05,1
10,21,2013,09,1
10,20,2013,16,1
10,19,2013,62,1
10,18,2013,19,1
10,17,2013,38,1
10,16,2013,04,1
10,15,2013,70,1
10,14,2013,20,1
10,13,2013,73,1
10,12,2013,46,1
10,11,2013,81,1
