Date,year,win,price,time
Dec 31, 2012, 7  9, 99,1
Dec 30, 2012, 9  6, 99,1
Dec 29, 2012, 6  0, 99,1
Dec 28, 2012, 7  2, 99,1
Dec 27, 2012, 8  2, 99,1
Dec 26, 2012, 3  9, 99,1
Dec 25, 2012, 1  0, 99,1
Dec 24, 2012, 0  4, 99,1
Dec 23, 2012, 0  7, 99,1
Dec 22, 2012, 9  0, 99,1
Dec 21, 2012, 3  5, 99,1
Dec 20, 2012, 3  1, 99,1
Dec 19, 2012, 5  5, 99,1
Dec 18, 2012, 6  0, 99,1
Dec 17, 2012, 6  9, 99,1
Dec 16, 2012, 7  5, 99,1
Dec 15, 2012, 7  1, 99,1
Dec 14, 2012, 3  4, 99,1
Dec 13, 2012, 6  6, 99,1
Dec 12, 2012, 8  7, 99,1
Dec 11, 2012, 1  2, 99,1
Dec 10, 2012, 9  1, 99,1
Dec 09, 2012, 8  4, 99,1
Dec 08, 2012, 1  8, 99,1
Dec 07, 2012, 5  5, 99,1
Dec 06, 2012, 8  1, 99,1
Dec 05, 2012, 0  9, 99,1
Dec 04, 2012, 3  4, 99,1
Dec 03, 2012, 1  5, 99,1
Dec 02, 2012, 7  5, 99,1
Dec 01, 2012, 9  1, 99,1
Nov 30, 2012, 2  3, 99,1
Nov 29, 2012, 2  7, 99,1
Nov 28, 2012, 6  3, 99,1
Nov 27, 2012, 9  6, 99,1
Nov 26, 2012, 2  3, 99,1
Nov 25, 2012, 2  4, 99,1
Nov 24, 2012, 3  4, 99,1
Nov 23, 2012, 9  2, 99,1
Nov 22, 2012, 4  4, 99,1
Nov 21, 2012, 6  1, 99,1
Nov 20, 2012, 0  9, 99,1
Nov 19, 2012, 9  3, 99,1
Nov 18, 2012, 8  4, 99,1
Nov 17, 2012, 8  2, 99,1
Nov 16, 2012, 5  0, 99,1
Nov 15, 2012, 2  7, 99,1
Nov 14, 2012, 4  6, 99,1
Nov 13, 2012, 1  1, 99,1
Nov 12, 2012, 6  3, 99,1
Nov 11, 2012, 8  8, 99,1
Nov 10, 2012, 1  7, 99,1
Nov 09, 2012, 8  3, 99,1
Nov 08, 2012, 3  1, 99,1
Nov 07, 2012, 3  4, 99,1
Nov 06, 2012, 2  4, 99,1
Nov 05, 2012, 0  1, 99,1
Nov 04, 2012, 0  9, 99,1
Nov 03, 2012, 3  0, 99,1
Nov 02, 2012, 1  6, 99,1
Nov 01, 2012, 2  1, 99,1
Oct 31, 2012, 4  9, 99,1
Oct 30, 2012, 5  4, 99,1
Oct 29, 2012, 9  5, 99,1
Oct 28, 2012, 1  4, 99,1
Oct 27, 2012, 8  0, 99,1
Oct 26, 2012, 8  4, 99,1
Oct 25, 2012, 7  9, 99,1
Oct 24, 2012, 1  3, 99,1
Oct 23, 2012, 9  6, 99,1
Oct 22, 2012, 7  8, 99,1
Oct 21, 2012, 5  6, 99,1
Oct 20, 2012, 1  8, 99,1
Oct 19, 2012, 4  2, 99,1
Oct 18, 2012, 7  4, 99,1
Oct 17, 2012, 0  8, 99,1
Oct 16, 2012, 5  1, 99,1
Oct 15, 2012, 1  7, 99,1
Oct 14, 2012, 1  9, 99,1
Oct 13, 2012, 3  2, 99,1
Oct 12, 2012, 1  9, 99,1
Oct 11, 2012, 3  7, 99,1
Oct 10, 2012, 4  1, 99,1
Oct 09, 2012, 6  0, 99,1
Oct 08, 2012, 7  3, 99,1
Oct 07, 2012, 5  3, 99,1
Oct 06, 2012, 2  5, 99,1
Oct 05, 2012, 2  2, 99,1
Oct 04, 2012, 3  8, 99,1
Oct 03, 2012, 3  4, 99,1
Oct 02, 2012, 7  5, 99,1
Oct 01, 2012, 7  0, 99,1
Sep 30, 2012, 2  3, 99,1
Sep 29, 2012, 3  6, 99,1
Sep 28, 2012, 9  6, 99,1
Sep 27, 2012, 6  4, 99,1
Sep 26, 2012, 1  9, 99,1
Sep 25, 2012, 1  4, 99,1
Sep 24, 2012, 0  3, 99,1
Sep 23, 2012, 5  6, 99,1
Sep 22, 2012, 3  6, 99,1
Sep 21, 2012, 7  8, 99,1
Sep 20, 2012, 5  3, 99,1
Sep 19, 2012, 2  1, 99,1
Sep 18, 2012, 7  7, 99,1
Sep 17, 2012, 4  7, 99,1
Sep 16, 2012, 5  8, 99,1
Sep 15, 2012, 8  9, 99,1
Sep 14, 2012, 9  8, 99,1
Sep 13, 2012, 7  9, 99,1
Sep 12, 2012, 5  3, 99,1
Sep 11, 2012, 9  3, 99,1
Sep 10, 2012, 1  8, 99,1
Sep 09, 2012, 1  6, 99,1
Sep 08, 2012, 6  2, 99,1
Sep 07, 2012, 3  0, 99,1
Sep 06, 2012, 8  4, 99,1
Sep 05, 2012, 7  8, 99,1
Sep 04, 2012, 6  0, 99,1
Sep 03, 2012, 7  0, 99,1
Sep 02, 2012, 4  9, 99,1
Sep 01, 2012, 4  7, 99,1
Aug 31, 2012, 3  3, 99,1
Aug 30, 2012, 1  7, 99,1
Aug 29, 2012, 8  4, 99,1
Aug 28, 2012, 4  4, 99,1
Aug 27, 2012, 8  4, 99,1
Aug 26, 2012, 3  8, 99,1
Aug 25, 2012, 9  0, 99,1
Aug 24, 2012, 1  3, 99,1
Aug 23, 2012, 0  1, 99,1
Aug 22, 2012, 2  9, 99,1
Aug 21, 2012, 8  8, 99,1
Aug 20, 2012, 8  0, 99,1
Aug 19, 2012, 0  4, 99,1
Aug 18, 2012, 8  7, 99,1
Aug 17, 2012, 9  0, 99,1
Aug 16, 2012, 9  8, 99,1
Aug 15, 2012, 6  2, 99,1
Aug 14, 2012, 3  0, 99,1
Aug 13, 2012, 7  2, 99,1
Aug 12, 2012, 3  5, 99,1
Aug 11, 2012, 0  8, 99,1
Aug 10, 2012, 3  1, 99,1
Aug 09, 2012, 7  4, 99,1
Aug 08, 2012, 3  9, 99,1
Aug 07, 2012, 8  5, 99,1
Aug 06, 2012, 2  4, 99,1
Aug 05, 2012, 0  4, 99,1
Aug 04, 2012, 8  2, 99,1
Aug 03, 2012, 1  2, 99,1
Aug 02, 2012, 7  5, 99,1
Aug 01, 2012, 3  2, 99,1
Jul 31, 2012, 2  8, 99,1
Jul 30, 2012, 9  7, 99,1
Jul 29, 2012, 7  7, 99,1
Jul 28, 2012, 2  2, 99,1
Jul 27, 2012, 6  0, 99,1
Jul 26, 2012, 4  9, 99,1
Jul 25, 2012, 6  0, 99,1
Jul 24, 2012, 7  6, 99,1
Jul 23, 2012, 4  5, 99,1
Jul 22, 2012, 6  1, 99,1
Jul 21, 2012, 8  8, 99,1
Jul 20, 2012, 4  9, 99,1
Jul 19, 2012, 1  4, 99,1
Jul 18, 2012, 0  6, 99,1
Jul 17, 2012, 1  2, 99,1
Jul 16, 2012, 7  8, 99,1
Jul 15, 2012, 8  6, 99,1
Jul 14, 2012, 9  6, 99,1
Jul 13, 2012, 8  1, 99,1
