Mon,date,year,r1
12,31,2012,36
12,30,2012,27
12,29,2012,14
12,28,2012,55
12,27,2012,03
12,26,2012,69
12,25,2012,94
12,24,2012,51
12,23,2012,58
12,22,2012,15
12,21,2012,86
12,20,2012,31
12,19,2012,16
12,18,2012,83
12,17,2012,65
12,16,2012,99
12,15,2012,24
12,14,2012,54
12,13,2012,38
12,12,2012,53
12,11,2012,17
12,10,2012,87
12,09,2012,27
12,08,2012,17
12,07,2012,24
12,06,2012,21
12,05,2012,58
12,04,2012,27
12,03,2012,65
12,02,2012,34
12,01,2012,61
11,30,2012,70
11,29,2012,65
11,28,2012,64
11,27,2012,00
11,26,2012,80
11,25,2012,49
11,24,2012,06
11,23,2012,94
11,22,2012,90
11,21,2012,47
11,20,2012,48
11,19,2012,58
11,18,2012,70
11,17,2012,65
11,16,2012,80
11,15,2012,14
11,14,2012,80
11,13,2012,37
11,12,2012,30
11,11,2012,62
11,10,2012,92
11,09,2012,67
11,08,2012,31
11,07,2012,62
11,06,2012,90
11,05,2012,06
11,04,2012,45
11,03,2012,68
11,02,2012,56
11,01,2012,62
10,31,2012,54
10,30,2012,31
10,29,2012,13
10,28,2012,81
10,27,2012,36
10,26,2012,49
10,25,2012,51
10,24,2012,73
10,23,2012,32
10,22,2012,56
10,21,2012,42
10,20,2012,26
10,19,2012,55
10,18,2012,46
10,17,2012,55
10,16,2012,38
10,15,2012,22
10,14,2012,49
10,13,2012,86
10,12,2012,95
10,11,2012,71
10,10,2012,63
10,09,2012,35
10,08,2012,28
10,07,2012,03
10,06,2012,20
10,05,2012,24
10,04,2012,68
10,03,2012,88
10,02,2012,27
10,01,2012,16
9,30,2012,40
9,29,2012,01
9,28,2012,41
9,27,2012,41
9,26,2012,56
9,25,2012,23
9,24,2012,10
9,23,2012,30
9,22,2012,18
9,21,2012,08
9,20,2012,41
9,19,2012,59
9,18,2012,23
9,17,2012,00
9,16,2012,94
9,15,2012,14
9,14,2012,38
9,13,2012,00
9,12,2012,66
9,11,2012,89
9,10,2012,17
9,09,2012,30
9,08,2012,38
9,07,2012,53
9,06,2012,52
9,05,2012,39
9,04,2012,75
9,03,2012,66
9,02,2012,45
9,01,2012,55
8,31,2012,72
8,30,2012,38
8,29,2012,06
8,28,2012,01
8,27,2012,90
8,26,2012,00
8,25,2012,13
8,24,2012,74
8,23,2012,58
8,22,2012,11
8,21,2012,18
8,20,2012,11
8,19,2012,48
8,18,2012,15
8,17,2012,73
8,16,2012,05
8,15,2012,53
8,14,2012,77
8,13,2012,02
8,12,2012,40
8,11,2012,30
8,10,2012,98
8,09,2012,44
8,08,2012,95
8,07,2012,50
8,06,2012,00
8,05,2012,78
8,04,2012,32
8,03,2012,61
8,02,2012,93
8,01,2012,90
7,31,2012,45
7,30,2012,67
7,29,2012,93
7,28,2012,50
7,27,2012,59
7,26,2012,74
7,25,2012,94
7,24,2012,62
7,23,2012,73
7,22,2012,35
