Mon,date,year,r1,r2
12,31,2012,3,6
12,30,2012,2,7
12,29,2012,1,4
12,28,2012,5,5
12,27,2012,0,3
12,26,2012,6,9
12,25,2012,9,4
12,24,2012,5,1
12,23,2012,5,8
12,22,2012,1,5
12,21,2012,8,6
12,20,2012,3,1
12,19,2012,1,6
12,18,2012,8,3
12,17,2012,6,5
12,16,2012,9,9
12,15,2012,2,4
12,14,2012,5,4
12,13,2012,3,8
12,12,2012,5,3
12,11,2012,1,7
12,10,2012,8,7
12,09,2012,2,7
12,08,2012,1,7
12,07,2012,2,4
12,06,2012,2,1
12,05,2012,5,8
12,04,2012,2,7
12,03,2012,6,5
12,02,2012,3,4
12,01,2012,6,1
11,30,2012,7,0
11,29,2012,6,5
11,28,2012,6,4
11,27,2012,0,0
11,26,2012,8,0
11,25,2012,4,9
11,24,2012,0,6
11,23,2012,9,4
11,22,2012,9,0
11,21,2012,4,7
11,20,2012,4,8
11,19,2012,5,8
11,18,2012,7,0
11,17,2012,6,5
11,16,2012,8,0
11,15,2012,1,4
11,14,2012,8,0
11,13,2012,3,7
11,12,2012,3,0
11,11,2012,6,2
11,10,2012,9,2
11,09,2012,6,7
11,08,2012,3,1
11,07,2012,6,2
11,06,2012,9,0
11,05,2012,0,6
11,04,2012,4,5
11,03,2012,6,8
11,02,2012,5,6
11,01,2012,6,2
10,31,2012,5,4
10,30,2012,3,1
10,29,2012,1,3
10,28,2012,8,1
10,27,2012,3,6
10,26,2012,4,9
10,25,2012,5,1
10,24,2012,7,3
10,23,2012,3,2
10,22,2012,5,6
10,21,2012,4,2
10,20,2012,2,6
10,19,2012,5,5
10,18,2012,4,6
10,17,2012,5,5
10,16,2012,3,8
10,15,2012,2,2
10,14,2012,4,9
10,13,2012,8,6
10,12,2012,9,5
10,11,2012,7,1
10,10,2012,6,3
10,09,2012,3,5
10,08,2012,2,8
10,07,2012,0,3
10,06,2012,2,0
10,05,2012,2,4
10,04,2012,6,8
10,03,2012,8,8
10,02,2012,2,7
10,01,2012,1,6
9,30,2012,4,0
9,29,2012,0,1
9,28,2012,4,1
9,27,2012,4,1
9,26,2012,5,6
9,25,2012,2,3
9,24,2012,1,0
9,23,2012,3,0
9,22,2012,1,8
9,21,2012,0,8
9,20,2012,4,1
9,19,2012,5,9
9,18,2012,2,3
9,17,2012,0,0
9,16,2012,9,4
9,15,2012,1,4
9,14,2012,3,8
9,13,2012,0,0
9,12,2012,6,6
9,11,2012,8,9
9,10,2012,1,7
9,09,2012,3,0
9,08,2012,3,8
9,07,2012,5,3
9,06,2012,5,2
9,05,2012,3,9
9,04,2012,7,5
9,03,2012,6,6
9,02,2012,4,5
9,01,2012,5,5
8,31,2012,7,2
8,30,2012,3,8
8,29,2012,0,6
8,28,2012,0,1
8,27,2012,9,0
8,26,2012,0,0
8,25,2012,1,3
8,24,2012,7,4
8,23,2012,5,8
8,22,2012,1,1
8,21,2012,1,8
